address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"767-768, 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bangalore",Eatery Have U Been,Yes,No,3.4 /5,35,+91 9743524748,BTM,"Cafe, Quick Bites",,"Cafe, Chinese, Fast Food, Burger, North Indian",500,Delivery
"24, Ground floor, 3rd B Cross Road, 18th Main Road, Kuvempu Nagar, Stage 2, BTM, Bangalore",Hunger2Eat,Yes,No,3.7 /5,26,+91 9739155657,BTM,Quick Bites,,"Biryani, Fast Food, North Indian",400,Delivery
"219/2, 1st Floor, 9th Main, 15th A Cross, 6th Sector, HSR, Bangalore",Atithi,Yes,Yes,3.9 /5,224,+91 9538800665,HSR,Casual Dining,"Vegetable Biryani, Jalebi, Paneer Curry, Tandoori Paneer, Paneer Tikka, Gulab Jamun, Paratha","North Indian, Chinese, Street Food",800,
 ('Rated 1.0'," """"RATED\n  Curry was of no taste at all"," ordered chef special veg curry but it was full of potatoes and onions only. Ordered ALU parathas which smelled bad. Don't waste your money to this restaurant. Quality and taste is too bad and cost is high although !!"""")", ('Rated 3.5', 'RATED\n  Good place for any vegetarian. Right in the middle of HSR. Pindi chole, paneer Manchurian, baby corn Manchurian, Ras malai must try. Good ambience and prompt service.'), ('Rated 3.5', 'RATED\n  This place is to be if u you are lazy and hungry. As they serve the buffet menu on your table, you can simply hog your heart full. Though the menu has less good options but worth the money they charge. Do not go with high expectations on ambience and service as both are average overall.'), ('Rated 4.5', this is the place to be. We ordered pindi chole
"BUILDING # 86, Shop # 3, WOW VADA PAV & CHAAT CHATORE CAFE, 1st Cross BETWEEN 17TH Main Road & 17th B MAIN ROAD, Near Bajaj Kawasaki Service Center, off 100 Feet Road , HAL 2ND STAGE, Indiranagar, Bangalore",Wow Vada Pav,Yes,No,3.6 /5,27,+91 9035155120,Indiranagar,Quick Bites,,"Street Food, American",250,Delivery
"150, 9th Main Road, Sector 6, HSR Layout, Bangalore",Kulfisthan,Yes,No,3.5 /5,7,"+91 9611203100
+91 9611209100",HSR,Dessert Parlor,,Ice Cream,150,Delivery
"3, Christ School Main Road, Bharathi Layout, SG Palya, BTM, Bangalore",Black Cup Cafe,Yes,No,3.7 /5,28,+91 9972567777,BTM,Cafe,,"Cafe, Fast Food, Beverages",400,Delivery
"Tavarekere Main Road, 2nd Stage, BTM, Bangalore",Juice 99,Yes,No,3.5 /5,20,+91 8075409113,BTM,Beverage Shop,,"Fast Food, Beverages",150,Delivery
"36/1, Sarjapur Main Road, Jakkasandra, 1st Block Koramangala, Bangalore",Tanu Di's Kitchen,Yes,No,,0,+91 9108608305,Koramangala 1st Block,Quick Bites,,"North Indian, South Indian, Bengali",350,Delivery
"236, Shop 3, Near Hero Honda Show Room, Amarjyoti Layout, Domlur, Bangalore",Galli Belly,Yes,No,3.4 /5,9,+91 9653057371,Domlur,Quick Bites,,"Sandwich, Rolls",200,Delivery
"52, Ejipura Main Road, Ejipura, Bangalore",Shake The Shake,Yes,No,,0,+91 9036011861,Ejipura,Quick Bites,,Juices,200,Delivery
"Ground Floor, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Haagen Dazs,Yes,No,3.9 /5,79,080 22067777,Koramangala 7th Block,Dessert Parlor,"Waffles, Chocolate Bomb, Belgium Chocolate, Chocolate Sundae, Chocolate Icecreams, Strawberry Cheesecake","Ice Cream, Desserts",800,Delivery
"S-8, Sapthagiri Mansion, 1st, Block, 80 Feet Road, Koramangala 1st Block, Bangalore",Chef Baker's,Yes,No,3.6 /5,37,"+91 7406066614
+91 7406066615",Koramangala 1st Block,"Bakery, Quick Bites",,Bakery,450,Delivery
"172, 2nd Cross Road, Indiranagar Double Road, Indiranagar, Bangalore",Wats Ur Scoop?,Yes,No,4.0 /5,56,"080 41715878
+91 9538612243",Indiranagar,Dessert Parlor,,"Desserts, Ice Cream",300,Delivery
"15, Ground Floor, 1st Main, Near Shanti Sagar, Domlur, Bangalore",Sri Ganesha Fruit Juice Centre,Yes,No,3.2 /5,18,+91 9845297734,Domlur,Beverage Shop,,"Juices, Beverages",100,Delivery
"1050, 1st Floor, 80 Feet Road, 3rd Block, Koramangala 3rd Block, Bangalore",Mustard Food Court,Yes,No,3.6 /5,165,080 40924441,Koramangala 3rd Block,Casual Dining,"Chicken Biryani, Chicken Wings, Chicken Curry, Kadhai Paneer, Butter Chicken, Noodles, Vegetable Biryani","North Indian, Chinese",500,Delivery
"1, 1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",Bawarchi Inn,Yes,No,3.1 /5,140,"+91 8197022223
+91 9032216666",BTM,Casual Dining,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani","North Indian, Biryani, Andhra, Chinese",600,Delivery
"157, Ground Floor, 4th Cross, Venkateshwara Layout, S.G Palya, BTM, Bangalore",Indori Chatorey,Yes,No,2.8 /5,137,+91 8050765508,BTM,Quick Bites,"Kachori, Indori Poha, Cheese Paratha, Paneer Parantha, Thali, Poha Jalebi","North Indian, Street Food",300,Delivery
"1004, Wipro Signal, 80 Feet Road, 1st Block, Koramangala 1st Block, Bangalore",Cafe Terra,Yes,No,4.1 /5,779,"080 41313553
+91 9739477277",Koramangala 1st Block,Cafe,"English Breakfast, Waffles, Chocolate Cake, Frittata, Chicken Lasagne, Ginger Tea, Burgers","Cafe, Continental",700,Delivery
"225, SriDevi Mansion, 1st Main, Koramangala 1st Block, Bangalore",House of Chaaps,Yes,No,NEW,0,+91 8527566955,Koramangala 1st Block,"Takeaway, Delivery",,"North Indian, Rolls",450,Delivery
"1, 1st Floor, BTM Complex, 9th Main Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",China Tang,Yes,No,3.7 /5,41,080 40926563,BTM,"Takeaway, Delivery",,Chinese,600,Delivery
"11, Kodihalli, Old Airport Road, Bangalore",Desi Bytes,Yes,No,3.1 /5,97,"+91 9741526540
+91 7406399000",Old Airport Road,Quick Bites,"Biryani, Murgh Lababdar, Thali","North Indian, Chinese",450,Delivery
"No. 7, 2nd cross, 2nd main, Brindavanagar, Suddagunte Palya Tavarekere, Bangalore",Chefie,Yes,No,3.5 /5,16,+91 7483351084,BTM,"Takeaway, Delivery",,"Continental, Fast Food, Italian, North Indian",200,Delivery
"3, 80 Feet Road, ST Bed, 4th Block, Koramangala 4th Block, Bangalore",Swathi Maharaja,Yes,Yes,3.7 /5,291,"080 25526407
+91 9900044650",Koramangala 4th Block,Casual Dining,"Murgh Ghee Roast, Mutton Biryani, Buttermilk, Andhra Meal, Thali, Chilli Chicken, Prawn","Andhra, North Indian, Chinese, Biryani",750,Delivery
"K Ramaiah Industrial Shed 2, 1st Main Road, Chikka Adugodi, Koramangala 7th Block, Bangalore",Cafe Noir,Yes,No,,0,080 42027688,Koramangala 7th Block,Casual Dining,,"European, French, Salad","1,500",Delivery
"353/354, 1st A cross, Koramangala 7th Block, Bangalore",Begin with us....Tea Time Cafe,Yes,No,3.9 /5,37,080 43718104,Koramangala 7th Block,Beverage Shop,,"Beverages, Tea",300,Delivery
"413, 7th Cross, Oppsite to HDFC Bank, Domlur, Bangalore",Donne Biriyani Mane,Yes,No,3.1 /5,22,"+91 9742663062
+91 9008512996",Domlur,Quick Bites,,"Biryani, North Indian",250,Delivery
"38/1, SLV building, 1 main, jaksandra, kateramma temple, kormangla 1 st block, Bangalore-560034",FreshBakes,Yes,No,,0,+91 9986414954,Koramangala 1st Block,"Takeaway, Delivery",,"Bakery, Desserts",350,Delivery
"Venkatapura Main Road, Koramangala 1st Block, Bangalore",The Hidden Cafe,Yes,No,3.9 /5,96,"+91 9113257420
+91 9886310096",Koramangala 1st Block,Quick Bites,"Hyderabadi Biryani, Ginger Chicken","North Indian, Fast Food",350,
 I tried this is place after checking couple of reviews. Visited twice and had a great experience. Had one of the best phulka, Allo Methi which reminded me my home food. 2nd time visited with friends ordered HYD Briyani which was so authentic and one of the BEST Briyani I had. Must try : Garlic Mashroom, Butter Chicken (very different)," Chicken patiyala & Anda Ganga Jamuna.\nThe menu is so interesting that I'm looking forward to try other dishes."""")", ('Rated 5.0', 'RATED\n  Awesome biryani had a feel of having proper hyderabadi biryani in Bengaluru. I would definitely like to recommend my friends too. Taste best Hyderabadi Biryani here'), ('Rated 1.0', 'RATED\n  food is very oily. chicken is of older hen. had to waste as the food was not edible due to being oily and very hot'), ('Rated 4.0', 'RATED\n  Good food and good customer service.'), ('Rated 4.5', 'RATED\n  Must place to local desi food. Go with hungry and leave it happily. Local place to have desi food. Enjoyed dinning it and will go futher go to dine it.'), I tried this is place after checking couple of reviews. Visited twice and had a great experience. Had one of the best phulka
"119/19, Ground Floor, 10th Cross, Venkateshwara Layout, SG Palya, HSR, Bangalore",Navya Foods,Yes,No,3.4 /5,7,+91 9880453040,HSR,Quick Bites,,"North Indian, Fast Food",300,Delivery
"521/570, 2nd Floor, Teacher's Colony, Venkatapura, HSR, Bangalore",Ustaad Biryani,Yes,No,3.2 /5,5,"+91 9108491096
080 43706380",HSR,Delivery,,Biryani,500,Delivery
"5, 16th Main, 2nd Stage, BTM, Bangalore",Snack Knack,Yes,No,3.0 /5,37,"+91 9535092716
+91 9880941836",BTM,Quick Bites,,"North Indian, Chinese",200,Delivery
"75, Near Tavarekere Bus Stop, Tavarekere Road",Khan's Biryani,Yes,No,3.0 /5,11,"+91 9902261142
080 42121142",BTM,Quick Bites,,"Biryani, North Indian",200,Delivery
"405/3, 6th D Cross, Venkatapura, HSR, Bangalore",Waffle In The Box,Yes,No,,0,+91 7005889963,HSR,Dessert Parlor,,Desserts,300,Delivery
"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Cookie Man,Yes,No,4.0 /5,100,080 22067766,Koramangala 7th Block,Dessert Parlor,"Chocolate Chip Cookie, Brownie Chocolate",Bakery,150,Delivery
"2, Lassi Pot, 1st main road, maruthi nagar, BTM 1st stage, BTM, Bangalore",Lassi Pot,Yes,No,3.3 /5,4,+91 9611978917,BTM,Beverage Shop,,Beverages,250,Delivery
"9, Nanjappa Reddy Layout, Koramangala 8th Block, Bengaluru",Ghee Positive,Yes,No,3.8 /5,48,+91 9900693912,Koramangala 8th Block,Quick Bites,"Paratha, Mutton Curry","North Indian, Chinese",300,Delivery
"13, 8th Cross Road, Venkatapura, Koramangala 1st Block, Bangalore",Melting Melodies,Yes,No,NEW,0,+91 9036775016,Koramangala 1st Block,Bakery,,"Bakery, Desserts",600,Delivery
"99, 100ft Ring Road, 2nd Colony, 1st Stage, BTM, Bangalore",Tasty Jigarthanda,Yes,No,3.4 /5,11,+91 9790447882,BTM,Beverage Shop,,"Beverages, Ice Cream",150,Delivery
"2010, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Zaica Dine & Wine,Yes,Yes,4.0 /5,1021,"+91 9731333833
080 41201745",Indiranagar,Casual Dining,"Chocolate Pani Puri, Butter Chicken, Gajar Halwa, Keema Pav, Mocktails, Raj Kachori, Biryani",North Indian,"1,200",Delivery
"22, Ground Floor, 9th Main, 2nd Cross Road, BTM Layout 1, Bangalore",Healthy Parathawala,Yes,No,,0,+91 8095555240,BTM,Quick Bites,,North Indian,200,Delivery
"29, 7th Cross Road, Bhavani Nagar, Suddagunte Palya, BTM, Bangalore",Mycakeshop,Yes,No,,0,+91 8884555705,BTM,Bakery,,"Bakery, Desserts",300,Delivery
"20-1, Chikkadugodi Main Road, DRC Post",Tasty Magic,Yes,No,2.7 /5,73,"+91 8553159399
080 26840038",BTM,Casual Dining,"Shawarma, Chicken Grill, Biryani","Chinese, North Indian",600,Delivery
"1160, 5th Main Rd, Sector 7, HSR, Bangalore",Lord of Combos,Yes,No,3.0 /5,28,"080 25722424
080 65702727",HSR,Delivery,,North Indian,500,Delivery
"77/A, Ground Floor, Cygnus Chambers, JNC Road, Koramangala 5th Block, Bangalore",Kopper Kadai,Yes,Yes,4.1 /5,1697,"+91 8147957515
+91 8951958515",Koramangala 5th Block,Casual Dining,"Mutton Kalmi, Chicken Biryani, Dahi Ke Kebab, Lassi, Tomato Soup, Ganna Chicken, Soya Chaap","North Indian, Chinese","1,200",
 Galouti Gilafi Naa, Angeethi Khaas Jheenga. All the dishes were delicious.\n\nBit on the expensive side. The bill is given in a mini post box style," which is quite different.\n\nOverall good food and nice experience. """")", ('Rated 4.0', 'RATED\n  One of the best place in Koramangala for indian food. Highly Recommended for family visit. Cooker me kukkad and nallinihari are the must try ones. Food and service is really great here.'), ('Rated 3.0', 'RATED\n  From outside and the overall ambience would want you to just enter the restaurant and have a very classy kind of experience.\nOn on hand where the food is decent but on the other the service can be improved.\nThe style of serving the food and bill in post box is very good and innovative but When someone is still having the food and waiters come to ask if you are done is not acceptable, maybe the waiters were in a rush!\nLoved the idea of serving the papad chatni etc on the stand and bill in the post box !'), ('Rated 4.0', 'RATED\n  The place is good for authentic North Indian food in a unique way...been there on rakshabandhan to treat the special ones and have an amazing experience!\n\nThe most wonderful I like is their way of billing ! ItÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s just waoo!'), ('Rated 4.0', 'RATED\n  Had a good time and food here! But itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s heavy on pocket! Ambience:4/5\nFood:3.5/5\nHas roti and curry, 'RATED\n  The place is good for authentic North Indian food in a unique way...been there on rakshabandhan to treat the special ones and have an amazing experience!\n\nThe most wonderful I like is their way of billing ! ItÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s just waoo!')
"106, 18th Main, Off 100 Feet Road, Indiranagar, Bangalore",Big Mummy,Yes,No,3.9 /5,214,+91 7829778797,Indiranagar,Quick Bites,"Burgers, Raita, Fries, Chicken Noodle, Bbq Burger, Poha, Sandwiches","Fast Food, Biryani",400,Delivery
"Shop L1 01, Splendid Plaza, Near Sukh Sagar, Koramangala 5th Block, Bangalore",The Monalisa Restaurant,Yes,No,3.3 /5,4,"+91 7795514911
+91 7022142858",Koramangala 5th Block,Quick Bites,,Chinese,300,Delivery
"236,7th Main, Amar Jyothi Layout, Domlur, Bangalore",Rajan's Cafe,Yes,No,2.8 /5,79,080 41418080,Domlur,Quick Bites,"Coffee, Vegetable Biryani, Masala Chai, Roti","North Indian, Chinese, Fast Food",300,Delivery
"607, First Floor, 80 Feet Road, 6th Block, Koramangala 6th Block, Bangalore",Carrots,Yes,Yes,4.1 /5,603,080 41172812,Koramangala 6th Block,Casual Dining,"Pizza, Pasta, Salads, Masala Chai, Soya Buttermilk, Burgers, Chocolate Icecreams","Italian, North Indian, Healthy Food, Desserts","1,100",Delivery
"584, 80 Feet Road, 5th Floor, Koramangala 8th Block, Bangalore",TRIGEREATO,Yes,Yes,4.4 /5,103,"+91 9620840390
+91 7022098881",Koramangala 8th Block,Cafe,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700,Delivery
"84, Hosur Main Road, Madivala, BTM, Bangalore",Swaadam Veg,Yes,No,3.6 /5,34,+91 8049994999,BTM,Casual Dining,,"South Indian, Chinese",300,Delivery
"203, KHB Block, Koramangala 5th Block, Bangalore",Kinpeetos,Yes,No,3.9 /5,64,+91 8585982807,Koramangala 5th Block,Quick Bites,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich","Lebanese, Greek",300,Delivery
"412/A, 1st C Cross, Near Forum Mall, 7th Block, Koramangala 7th Block, Bangalore",Elmas Restaurant,Yes,No,3.4 /5,34,"+91 9886844944
080 41471414",Koramangala 7th Block,Casual Dining,Rooftop Ambience,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650,Delivery
"643, Indiqube Octagon, 80 Feet Road, Koramangala 4th Block, Bangalore",Qube Cafe,Yes,No,4.2 /5,169,+91 9535256633,Koramangala 4th Block,Cafe,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea","Cafe, Desserts",700,Delivery
"11, Eat Street, 80 Feet Road, Opposite Indian Oil Petrol Station, Koramangala 6th Block, Bangalore",Khiche Chale Aao,Yes,No,NEW,0,+91 9922417120,Koramangala 6th Block,Quick Bites,,"North Indian, Fast Food",300,Delivery
"40/3, 7th Cross Road, Bhavani Nagar, Suddagunte Palya, BTM, Bangalore",Caramel Shake,Yes,No,NEW,0,"+91 8884555705
+91 8884555715",BTM,Beverage Shop,,"Beverages, Juices, Ice Cream",200,Delivery
"34, 5th Cross, Koramangala 5th Block, Bangalore",Chaska Bun,Yes,No,4.2 /5,166,+91 9886415555,Koramangala 5th Block,Quick Bites,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",Fast Food,300,Delivery
"Maruti Plaza, 340, 1st B Main Road, Koramangala 7th Block, Bangalore",Daawat Restaurant Bar & Pub,Yes,No,3.5 /5,9,"+91 9964849987
+91 9743028415",Koramangala 7th Block,"Bar, Casual Dining",,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700,Delivery
"1018, 80 Feet Road, Near Wipro Tech Park, 1st Block, Koramangala 1st Block, Bangalore",Sharma's Malai & Masala,Yes,No,4.0 /5,457,"+91 7009006979
080 40926677",Koramangala 1st Block,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",North Indian,650,Delivery
"Ground Floor, Forum Mall, Koramangala 7th Block, Bangalore",BelgYum,Yes,No,4.0 /5,69,"+91 9900140017
+91 9980102587",Koramangala 7th Block,Dessert Parlor,Waffles,Desserts,400,Delivery
"Davanam Plaza, Next To Total Mall Madivala, Hosur Road, Sidharata Colony, Santhosapuram, Koramangala 2nd Block, Bangalore",Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0 /5,151,080 49652825,Koramangala 2nd Block,Casual Dining,"Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","1,100",Delivery
"572, 30th Main, 3rd Stage, Banashankari, Bangalore",My Tea House,Yes,Yes,NEW,0,080 49652475,Banashankari,Casual Dining,,"Continental, Asian",800,Delivery
"1/7, 2nd Floor, 21st Cross, Ejipura Main Road, Ejipura, Bangalore",Guns N Roses,Yes,No,3.6 /5,23,"+91 7406660700
+91 8867452191",Ejipura,Quick Bites,,"Fast Food, Biryani",300,Delivery
"12/11, Opposite SBM Bank, 20th Main, 100 Feet Road, BTM, Bangalore",New Friends,Yes,No,3.8 /5,273,"080 26784129
080 26912010",BTM,Casual Dining,"Fritters, Lasagne, Biryani, Fish, Pasta, Draught Beer, Hot Pot","North Indian, Continental, Chinese, Steak",900,
orange juice ,and mango juice ,?'), ('Rated 2.0'," """"RATED\n  I did not like this place at all. I went and ordered pizza here quite a long back ago from now. I had to wait for almost 4 minutes to 1 hr to get the food delivered. Nothing very special in this place. I would not really recommend this place. It's just waste of money. It can only be used as a land mark that's it."""")", ('Rated 1.0', 'RATED\n  No fork and knife wtf? how will eat vd hands'), ('Rated 3.0', 'RATED\n  Went there for lunch. It has nice roof top ambience. Food is also tasty. But service is very slow even when there were only 2 tables filled.\n\nAmbience - 4/5\nFood - 4/5\nService - 2/5'), ('Rated 4.0', 'RATED\n  Good place to spend time with a tiny group of frnds. Roof top ambiance with draught beer was a good combo.   Starters were too costly. Tasty and spicy.  Good to visit once a month.'), ('Rated 5.0',and other juice item nice
"925, Opposite Magnus Diagnostic Center, ST Bed Layout, Koramangala 4th Block, Bangalore",Oregano Pizzeria,Yes,No,3.7 /5,52,080 48664711,Koramangala 4th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450,Delivery
"474, Ground floor, 1st cross road, KHB Colony, Koramangala 5th Block, Bangalore",Tandoori,Yes,No,,0,+91 7353770007,Koramangala 5th Block,Quick Bites,,"North Indian, Rolls",300,Delivery
"66, Jyothi Nivas College Road, Industrial Layout, Koramangala 5th Block, Bangalore",The Chai Stop,Yes,No,NEW,0,"+91 9886999788
080 41220202",Koramangala 5th Block,Quick Bites,,"Fast Food, Tea",200,Delivery
"30, SG Palya Main Road, Madiwala, BTM, Bangalore",Cafe 221B,Yes,Yes,3.7 /5,49,"+91 7899022907
+91 9895765188",BTM,Cafe,,"Cafe, Beverages",300,Delivery
"4, 4th Main Road, Bhrudhavan Nagar, Near Health India, BTM, Bangalore",Night Restro,Yes,No,3.1 /5,224,"+91 7259432493
+91 7259432492",BTM,Delivery,,"North Indian, Chinese",500,Delivery
"78, Ground Floor, Right Wing, 11th Main, 14th Cross, Behind BDA Complex, HSR, Bangalore",Cinnamon,Yes,No,3.9 /5,450,"+91 9900890054
080 41201897",HSR,Casual Dining,"Raita, Tandoori Chicken, Egg Chilli, Hakka Noodles, Chicken Taka Tak, Palak Paneer, Veg Pulao","North Indian, Chinese, Biryani",550,
 their chappatis were extremely good. Might visit again.\n\nEdit: Visited again 2 weeks later. My experience was completely different! Butter chicken and the butter naan were yum! This will be a frequent hang out place for my group from now on I guess.'), ('Rated 4.0', 'RATED\n  It was such a good experience in terms of food and place here,\nI recommend this, specially for them who wants a noise less space to chat while having food'), ('Rated 3.5', 'RATED\n  Small and cosy place. The food is quite OK and the staff is friendly , food is little expensive compared to the quality and quantity but can be tried once.'), ('Rated 5.0', 'RATED\n  Very good taste . servicing is also so much satisfied.\nKarthik the cinnamon person suggested good taste food and served well . thank you cinnamon'), ('Rated 1.0'," """"RATED\n  This place has rats running wild in the kitchen and restaurant. Avoid it all costs! To top it off the food is bland as well. No wonder it's empty!"""")", Cinnamon is a very good Dining place where the food is good for a reasonable price.\nAlmost every weekend I go to Cinnamon and have never got disappointed. The service is good and the place is never over crowded because of which I go all the time. \n\nA decent place in HSR
"Shop 213, Grace Point, Opposite Bosch Back Gate, 1st Main Road, Koramangala 7th Block, Bangalore",Laziz Pizza,Yes,No,3.8 /5,46,080 49652743,Koramangala 7th Block,Quick Bites,"Pizza, Peri Peri Fries, Veg Paprika","Fast Food, Burger, Pizza",400,Delivery
"126, 1st A Cross Road, Koramangala 5th Block, Bangalore",7 Plates,Yes,No,3.7 /5,259,"+91 7406772227
+91 7406776667",Koramangala 5th Block,Casual Dining,"Butter Kulcha, Rolls, Brownie, Mutton Biryani, Butter Chicken, Shawarma, Rumali Roti","Mughlai, Fast Food",750,Delivery
"236, Shop No 1, Amarjyothi Layout, Domlur, Bangalore",DVG Benne Dosa,Yes,No,4.1 /5,28,"+91 7624838080
+91 7624898080",Domlur,Quick Bites,,South Indian,150,Delivery
"110, 17-B Main, 6th Block, Koramangala 6th Block, Bangalore",Juice Junction Food Court,Yes,No,3.7 /5,70,080 41105299,Koramangala 6th Block,"Beverage Shop, Quick Bites","Tea, Chai, Sandwiches, Sandwich","Beverages, Juices, Fast Food",250,Delivery
"271, Opposite Amruth Park Entrance, 17th F Main, KHB Colony, Koramangala 5th Block, Bangalore",Flavour of Himalaya,Yes,No,3.7 /5,24,"+91 8884834641
+91 9538120074",Koramangala 5th Block,Quick Bites,,Asian,500,Delivery
"10, Venkatapura Main Road, Teacher's Colony, Jakkasandra, Koramangala 1st Block",Shabari Kitchen,Yes,No,3.5 /5,16,+91 8310119834,Koramangala 1st Block,Quick Bites,,"South Indian, Chinese",150,Delivery
"107/2, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Fill N Chill Resto Bar & Pub,Yes,Yes,3.9 /5,598,+91 9591989862,Koramangala 4th Block,Bar,"Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish","Finger Food, North Indian, Chinese","1,200",Delivery
"1st Floor, 1st Cross, Besides Bosch, Koramangala 7th Block, Bangalore",INDULGE by InnerChef,Yes,No,3.6 /5,29,"080 41202278
+91 7829745705",Koramangala 7th Block,Bakery,,"Desserts, Bakery",400,Delivery
"361, First Floor, 1st Main Road, 5th Cross, Sriniavagilu, Chandra Reddy Layout, S T Bed Layout, Koramangala 1st Block, Bangalore",Mist n Creams,Yes,No,,0,"+91 9342608499
+91 9380209528",Ejipura,Dessert Parlor,,Ice Cream,400,Delivery
"183, 5th Cross, Koramangala 5th Block, Bangalore",Ganesh Restaurant,Yes,No,3.7 /5,51,"+91 9845177981
+91 8971812966",Koramangala 5th Block,Quick Bites,,"Chinese, Street Food",300,Delivery
"253, Ground Floor, 5th Main, 17th Cross, Sector 6, HSR, Bangalore",Calvin's,Yes,No,3.8 /5,22,+91 8496962222,HSR,"Dessert Parlor, Quick Bites",,Desserts,800,Delivery
"5, 100 Feet Ring Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",Tandoor Garden,Yes,No,3.6 /5,71,+91 9141678224,BTM,Quick Bites,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken","North Indian, Chinese, Kebab",350,Delivery
"7th Cross Road, Agara Village, 1st Sector, HSR, Bangalore",Mandya Gowdru Donne Biriyani,Yes,No,3.8 /5,283,"+91 9686715392
+91 9945409389",HSR,Quick Bites,,"Biryani, South Indian",350,Delivery
"15, 19th Main, 60 feet road, Koramangala 6th Block, Bangalore",Fiero! Pizzeria,Yes,No,4.0 /5,62,"+91 8123444800
+91 8123444900",Koramangala 6th Block,Quick Bites,"Pizza, Ice Cream Roll","Italian, Fast Food, Pizza",400,Delivery
"473, KHB Colony, 17th C Main, Koramangala 5th Block, Bangalore",Cafe Medley,Yes,No,4.2 /5,1065,"+91 8041160865
+91 9845141475",Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800,Delivery
"NGR Layout, Roopena Agrahara, Bommanahalli, Bangalore",Sip N Bite,No,No,3.3 /5,11,+91 9988469179,Bommanahalli,Quick Bites,,"Fast Food, North Indian, South Indian, Chinese",300,Delivery
"401, Furnome Piccaso, Near SilkBoard Junction, HSR, Bangalore",Big Fat Brownie,Yes,No,3.4 /5,6,"+91 9158887768
+91 9766078279",HSR,"Takeaway, Delivery",,"Bakery, Sandwich",400,Delivery
"124, 3rd Floor, 3rd Cross, Behind Venkataramana Swamy Temple, Sidhartha Colony, Madivala, Koramangala 2nd Block, Bangalore",Namms Cafe,Yes,No,3.2 /5,8,"+91 7996605763
+91 8867431096",Koramangala 2nd Block,Delivery,,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300,Delivery
"8, Hosur Main Road, BTM, Bangalore",Arabian Bites,Yes,No,3.4 /5,24,"+91 7619499482
+91 7619499420",BTM,Quick Bites,,"North Indian, Chinese",500,Delivery
